Date = 2020-03-04 13:46:02 | Message = MirasyInterfaceService Initialise()
Date = 2020-03-04 13:46:07 | Message = MirasyInterfaceService Started Successfully
Date = 2020-03-04 13:46:08 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 13:46:21 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 13:46:21 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 13:46:24 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 13:46:34 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 13:46:43 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 13:46:45 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 13:46:54 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 13:46:54 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 13:46:54 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 13:46:54 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 13:47:17 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 13:47:20 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 13:47:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 13:47:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 13:47:22 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 13:49:06 | Message = MirasyInterfaceService Initialise()
Date = 2020-03-04 13:49:07 | Message = MirasyInterfaceService Started Successfully
Date = 2020-03-04 13:49:07 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 13:49:17 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 16:32:33 | Message = MirasyInterfaceService Initialise()
Date = 2020-03-04 16:32:37 | Message = MirasyInterfaceService Started Successfully
Date = 2020-03-04 16:32:37 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 16:32:39 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 16:32:39 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 16:32:39 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 16:32:39 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 16:32:44 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 16:32:44 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 16:32:47 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 16:32:47 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 16:32:47 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 16:32:47 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 16:32:52 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 16:32:52 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 16:32:54 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 16:32:54 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 16:32:54 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 16:32:54 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 16:33:14 | Message = MirasyInterfaceService Initialise()
Date = 2020-03-04 16:33:15 | Message = MirasyInterfaceService Started Successfully
Date = 2020-03-04 16:33:15 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 16:33:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 16:33:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 16:33:22 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 16:33:24 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 16:33:35 | Message = MirasysVCAInterfaceService OnValidateCertificate() new certificate.Subject :CN=WIN-B24PUTOHKN4
Date = 2020-03-04 16:33:53 | Message = MirasysInterface CreateVaAlert() DeviceName:cam2--!--strEventCode:linecross--!--strAlarmDateTime:
Date = 2020-03-04 17:20:42 | Message = MirasyInterfaceService Initialise()
Date = 2020-03-04 17:20:49 | Message = MirasyInterfaceService Started Successfully
Date = 2020-03-04 17:20:49 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:20:52 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:20:52 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:20:52 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:21:01 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:21:31 | Message = MirasysVCAInterfaceService OnValidateCertificate() new certificate.Subject :CN=WIN-B24PUTOHKN4
Date = 2020-03-04 17:21:56 | Message = MirasyInterfaceService Initialise()
Date = 2020-03-04 17:21:57 | Message = MirasyInterfaceService Started Successfully
Date = 2020-03-04 17:21:57 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:21:59 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:21:59 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:21:59 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:22:03 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:22:10 | Message = MirasysVCAInterfaceService OnValidateCertificate() new certificate.Subject :CN=WIN-B24PUTOHKN4
Date = 2020-03-04 17:22:12 | Message = MirasysInterface CreateVaAlert() DeviceName:cam2--!--strEventCode:linecross--!--strAlarmDateTime:
Date = 2020-03-04 17:25:08 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:25:09 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:25:35 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:25:35 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:25:35 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:25:59 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:05 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:05 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:07 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:07 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:07 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:14 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:19 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:19 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:22 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:22 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:27 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:27 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:29 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:29 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:29 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:29 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:34 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:34 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:36 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:36 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:36 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:36 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:41 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:41 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:43 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:43 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:43 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:43 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:48 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:48 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:50 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:50 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:50 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:50 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:26:55 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:26:55 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:26:57 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:26:57 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:26:57 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:26:57 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
