Date = 2019-09-15 11:34:09 | Message = MirasysVCAInterfaceService Dispose()
Date = 2019-09-15 11:34:09 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2019-09-15 11:34:09 | Message = MirasysVCAInterfaceService Dispose()
Date = 2019-09-15 11:34:21 | Message = MirasyInterfaceService Initialise()
Date = 2019-09-15 11:34:23 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2019-09-15 11:34:23 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2019-09-15 11:34:23 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 
Date = 2019-09-15 11:34:23 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 1 Mirasys.Clients.Gateway.SDK.Core.SessionContext
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Start:
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SINGH MEDICAL
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SINGH_MEDICAL PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SINGH_MEDICAL 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  MAHAVIR MANDIR TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MAHAVIR_MANDIR PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MAHAVIR_MANDIR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  GAS GODAM
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GAS_GODAM PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GAS_GODAM
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  KALI MATA MANDIR 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KALIMATA_MANDIR TOWARDS BHAKTINAGAR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KALIMATA_MANDIR TOWARDS PAHARIYA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KALIMATA_MANDIR TOWARDS PANDEYPUR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  RTO TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RTO_TIRAHA PTZ
